form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,epistemic_tag,variants_tag,analysis_tag,overabundance_tag,source,page,language_id
komsaikul001,no_stem,1.sg,kei,kei,kei,k ei,k ei,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,elicited,unspecified,,,Kanshouwa2025Saikul,nopage,komsaikul
komsaikul008,se,1.sg.fut.aff,ka-se-sik-eng,ka-Σ-sik-eng,ka+Σ+sik+eng,k a Σ s i k e ŋ,k a + Σ + s i k + e ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul009,se,1.pl.incl.fut.aff,ka-se-sik-me,ka-Σ-sik-me,ka+Σ+sik+me,k a Σ s i k m e,k a + Σ + s i k + m e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul010,se,1.pl.excl.fut.aff,ka-se-sik-ung,ka-Σ-sik-ung,ka+Σ+sik+ung,k a Σ s i k u ŋ,k a + Σ + s i k + u ŋ,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul011,hmu,1.sg.2.sg.fut.aff,ka-hmu-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul012,hmu,1.sg.2.pl.fut.aff,ka-hmu-sik-chei,ka-Σ-sik-chei,ka+Σ+sik+chei,k a Σ s i k tʃ ei,k a + Σ + s i k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul013,hmu,1.pl.excl.2.sg.fut.aff,kan-hmu-sik-che,kan-Σ-sik-che,ka+n+Σ+sik+che,k a n Σ s i k tʃ e,k a + n + Σ + s i k + tʃ e,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul014,hmu,1.pl.excl.2.pl.fut.aff,kan-hmu-sik-chei,kan-Σ-sik-chei,ka+n+Σ+sik+chei,k a n Σ s i k tʃ ei,k a + n + Σ + s i k + tʃ ei,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
komsaikul015,hmu,1.sg.3.sg.fut.aff,ka-hmu-sik,ka-Σ-sik,ka+Σ+sik,k a Σ s i k,k a + Σ + s i k,elicited,unspecified,,,Kanshouwa2026SaikulKom,nopage,komsaikul
