morph_id,morph,position,in_cells,in_forms,language_id
komsaikulM01,a,free,3.sg; 3.pl,komsaikul006; komsaikul007,komsaikul
komsaikulM02,a,pre,3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komsaikul033; komsaikul034; komsaikul035; komsaikul036; komsaikul037; komsaikul038; komsaikul039; komsaikul040; komsaikul041; komsaikul042; komsaikul043; komsaikul044; komsaikul045; komsaikul046; komsaikul079; komsaikul081; komsaikul084; komsaikul085; komsaikul086; komsaikul088; komsaikul091; komsaikul093; komsaikul110; komsaikul112; komsaikul114; komsaikul116; komsaikul119; komsaikul122; komsaikul168; komsaikul169; komsaikul172; komsaikul174; komsaikul175; komsaikul178; komsaikul179; komsaikul199; komsaikul201; komsaikul203; komsaikul205; komsaikul214; komsaikul215; komsaikul217; komsaikul220; komsaikul222; komsaikul224,komsaikul
komsaikulM03,a n,pre,3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff,komsaikul170; komsaikul171; komsaikul173; komsaikul176; komsaikul177; komsaikul180; komsaikul181,komsaikul
komsaikulM04,e ŋ,post,1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 1.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.sg.nfut.aff; 2.sg.1.sg.nfut.aff; 2.pl.1.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komsaikul008; komsaikul023; komsaikul025; komsaikul033; komsaikul036; komsaikul048; komsaikul055; komsaikul056; komsaikul062; komsaikul142; komsaikul158; komsaikul160; komsaikul168; komsaikul170; komsaikul182; komsaikul186; komsaikul187; komsaikul190; komsaikul191,komsaikul
komsaikulM05,ei,free,1.pl.incl,komsaikul003,komsaikul
komsaikulM06,ei,pre,2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komsaikul078; komsaikul080; komsaikul082; komsaikul083; komsaikul087; komsaikul089; komsaikul090; komsaikul092; komsaikul109; komsaikul111; komsaikul113; komsaikul115; komsaikul117; komsaikul118; komsaikul120; komsaikul121; komsaikul123; komsaikul198; komsaikul200; komsaikul202; komsaikul204; komsaikul213; komsaikul216; komsaikul218; komsaikul219; komsaikul221; komsaikul223,komsaikul
komsaikulM07,h ei,post,1.sg.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 1.sg.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,komsaikul016; komsaikul019; komsaikul020; komsaikul028; komsaikul030; komsaikul032; komsaikul044; komsaikul046; komsaikul056; komsaikul057; komsaikul069; komsaikul070; komsaikul071; komsaikul072; komsaikul073; komsaikul096; komsaikul097; komsaikul098; komsaikul102; komsaikul106; komsaikul108; komsaikul115; komsaikul116; komsaikul117; komsaikul118; komsaikul119; komsaikul120; komsaikul121; komsaikul122; komsaikul123; komsaikul128; komsaikul129; komsaikul130; komsaikul131; komsaikul134; komsaikul136; komsaikul137; komsaikul138; komsaikul139; komsaikul140; komsaikul141; komsaikul151; komsaikul154; komsaikul155; komsaikul163; komsaikul165; komsaikul167; komsaikul179; komsaikul181; komsaikul191; komsaikul194; komsaikul195; komsaikul207; komsaikul210; komsaikul212; komsaikul219; komsaikul220; komsaikul221; komsaikul222; komsaikul223; komsaikul224; komsaikul227; komsaikul228; komsaikul232; komsaikul233,komsaikul
komsaikulM08,h ei,pre,2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg,komsaikul099; komsaikul103,komsaikul
komsaikulM09,i ŋ,post,1.sg.fut.neg; 1.sg.fut.neg; 1.pl.incl.fut.neg; 1.pl.incl.fut.neg; 1.pl.excl.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.incl.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 2.sg.fut.neg; 2.pl.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.sg.3.sg.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.sg.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.2.sg.fut.neg; 3.sg.2.pl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg,komsaikul047; komsaikul048; komsaikul049; komsaikul050; komsaikul052; komsaikul054; komsaikul057; komsaikul059; komsaikul061; komsaikul063; komsaikul065; komsaikul066; komsaikul068; komsaikul070; komsaikul071; komsaikul073; komsaikul075; komsaikul077; komsaikul078; komsaikul079; komsaikul083; komsaikul085; komsaikul088; komsaikul089; komsaikul092; komsaikul093; komsaikul095; komsaikul097; komsaikul098; komsaikul101; komsaikul105; komsaikul106; komsaikul107; komsaikul108; komsaikul109; komsaikul110; komsaikul111; komsaikul112; komsaikul113; komsaikul114; komsaikul115; komsaikul116; komsaikul117; komsaikul118; komsaikul119; komsaikul120; komsaikul121; komsaikul122; komsaikul123; komsaikul125; komsaikul127; komsaikul129; komsaikul130; komsaikul133; komsaikul134; komsaikul135; komsaikul136; komsaikul137; komsaikul138; komsaikul139; komsaikul140; komsaikul141,komsaikul
komsaikulM10,k a,pre,1.sg.fut.aff; 1.pl.incl.fut.aff; 1.pl.excl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 1.sg.nfut.aff; 1.pl.incl.nfut.aff; 1.pl.incl.nfut.aff; 1.pl.excl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 2.sg.nfut.aff; 2.pl.nfut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff,komsaikul008; komsaikul009; komsaikul010; komsaikul011; komsaikul012; komsaikul013; komsaikul014; komsaikul015; komsaikul016; komsaikul018; komsaikul020; komsaikul021; komsaikul022; komsaikul031; komsaikul032; komsaikul142; komsaikul143; komsaikul144; komsaikul145; komsaikul146; komsaikul147; komsaikul148; komsaikul149; komsaikul150; komsaikul151; komsaikul153; komsaikul155; komsaikul156; komsaikul157; komsaikul166; komsaikul167,komsaikul
